-------- ENCODAGE MIRE ORIGINALE --------
-------- ((x,y),(codage_voisin_0_degree),(codage_voisin_90_degree),(codage_voisin_180_degree),(codage_voisin_270_degree)) --------
(191, 287), 202111101, 211110102, 211010211, 201021111
(31, 287), 2122NNN10, 22NNN1012, 2NN10122N, 210122NNN
(319, 255), 202001221, 200122102, 212210200, 221020012
(127, 255), 211000110, 200011011, 201101100, 210110001
(319, 223), 210212012, 221201210, 220121021, 212102120
(287, 223), 222111101, 211110122, 211012211, 201221111
(223, 223), 211102101, 210210111, 221011110, 201111021
(191, 223), 221010010, 201001021, 200102101, 210210100
(63, 223), 210010012, 201001210, 200121001, 212100100
(351, 191), 200121112, 212111200, 211120012, 212001211
(127, 191), 200112212, 211221200, 222120011, 212001122
(95, 191), 221121121, 212112121, 211212112, 221211211
(479, 159), 2NN01002N, 201002NNN, 2002NNN01, 22NNN0100
(383, 159), 210021021, 202102110, 210211002, 221100210
(255, 159), 200100120, 210012000, 201200010, 220001001
(159, 159), 211021222, 202122211, 212221102, 222110212
(95, 159), 212211212, 221121212, 212121221, 212122112
(479, 127), 2NN20021N, 220021NNN, 2021NNN20, 21NNN2002
(383, 127), 211210202, 221020211, 202021121, 202112102
(255, 127), 200201002, 220100200, 210020020, 202002010
(191, 127), 210122100, 212210010, 221001012, 200101221
(159, 127), 221212010, 221201021, 220102121, 210212120
(127, 127), 222121001, 212100122, 210012212, 201221210
(63, 127), 212111010, 211101012, 210101211, 210121110
(447, 95), 212012221, 201222112, 222211201, 221120122
(415, 95), 220120122, 212012220, 201222012, 222201201
(351, 95), 202002201, 200220102, 222010200, 201020022
(319, 95), 220002120, 200212020, 221202000, 220200021
(287, 95), 220020112, 202011220, 201122002, 212200201
(447, 63), 211222001, 222200111, 220011122, 201112220
(415, 63), 222201200, 220120022, 212002220, 200222012
(319, 63), 202221221, 222122102, 212210222, 221022212
(31, 63), 2010NNN12, 20NNN1201, 2NN12010N, 212010NNN
(383, 31), 202101NNN, 2101NNN02, 21NNN0210, 2NN02101N
(319, 31), 210212NNN, 2212NNN10, 22NNN1021, 2NN10212N
